country,geo,siec,type,unit,source,scenario,year,cap
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2014,1060.6
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2015,1394
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2016,1664.2
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2017,1906.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2018,2173.2
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2019,2498.1
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2020,2973.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2021,3655.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2022,4736.7
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2023,6374.7
Switzerland,CH,RA420,Solar photovoltaic,MW,BFE,GES2023,1990,2.5
Switzerland,CH,RA421,Solar photovoltaic,MW,BFE,GES2023,1991,3.9
Switzerland,CH,RA422,Solar photovoltaic,MW,BFE,GES2023,1992,5.3
Switzerland,CH,RA423,Solar photovoltaic,MW,BFE,GES2023,1993,6.4
Switzerland,CH,RA424,Solar photovoltaic,MW,BFE,GES2023,1994,7.5
Switzerland,CH,RA425,Solar photovoltaic,MW,BFE,GES2023,1995,8.3
Switzerland,CH,RA426,Solar photovoltaic,MW,BFE,GES2023,1996,9.4
Switzerland,CH,RA427,Solar photovoltaic,MW,BFE,GES2023,1997,10.4
Switzerland,CH,RA428,Solar photovoltaic,MW,BFE,GES2023,1998,12
Switzerland,CH,RA429,Solar photovoltaic,MW,BFE,GES2023,1999,13.8
Switzerland,CH,RA430,Solar photovoltaic,MW,BFE,GES2023,2000,15.9
Switzerland,CH,RA431,Solar photovoltaic,MW,BFE,GES2023,2001,18.3
Switzerland,CH,RA432,Solar photovoltaic,MW,BFE,GES2023,2002,20.2
Switzerland,CH,RA433,Solar photovoltaic,MW,BFE,GES2023,2003,21.9
Switzerland,CH,RA434,Solar photovoltaic,MW,BFE,GES2023,2004,24.3
Switzerland,CH,RA435,Solar photovoltaic,MW,BFE,GES2023,2005,28.3
Switzerland,CH,RA436,Solar photovoltaic,MW,BFE,GES2023,2006,30.1
Switzerland,CH,RA437,Solar photovoltaic,MW,BFE,GES2023,2007,37.4
Switzerland,CH,RA438,Solar photovoltaic,MW,BFE,GES2023,2008,49.4
Switzerland,CH,RA439,Solar photovoltaic,MW,BFE,GES2023,2009,79.5
